handle,text,created_at,like_count,retweet_count
elonmusk,Markets are forward looking. Innovation drives long term growth.,2024-01-15 14:30:00+00:00,45000,12000
JeromePowell,We are committed to bringing inflation down to our 2 percent goal.,2024-01-16 18:00:00+00:00,8000,3000
federalreserve,The Federal Reserve remains vigilant on price stability.,2024-01-17 15:00:00+00:00,5000,2000
elonmusk,Tesla production ramping faster than expected. Bullish on energy storage.,2024-01-18 20:15:00+00:00,62000,18000
RayDalio,Debt cycles and geopolitical risk remain top concerns for investors.,2024-01-19 12:00:00+00:00,15000,5000
POTUS,Our economic plan is working. Jobs and manufacturing are coming back.,2024-01-22 16:00:00+00:00,25000,8000
JeromePowell,Interest rates may need to stay higher for longer.,2024-01-23 19:30:00+00:00,12000,4500
jimcramer,Buy the dip in quality tech names. This selloff is overdone.,2024-01-25 13:30:00+00:00,9000,2500
chamath,AI capex cycle is just beginning. Infrastructure plays will win.,2024-01-26 17:00:00+00:00,11000,3500
tim_cook,Apple Vision Pro reviews are strong. Services growth continues.,2024-01-29 15:00:00+00:00,22000,6000
federalreserve,FOMC statement: inflation has eased but remains elevated.,2024-01-31 19:00:00+00:00,9500,3200
JeromePowell,We need more evidence before cutting rates. Patience is warranted.,2024-02-05 18:45:00+00:00,13000,5000
POTUS,Inflation is coming down and wages are rising for working families.,2024-02-06 16:30:00+00:00,28000,9000
elonmusk,Tesla margins under pressure from price cuts. Working on cost structure.,2024-02-09 20:00:00+00:00,55000,15000
RayDalio,Geopolitical fragmentation is a structural headwind for global markets.,2024-02-15 12:00:00+00:00,16000,5200
JeromePowell,Labor market rebalancing continues. Soft landing remains possible.,2024-02-20 19:00:00+00:00,11000,4200
POTUS,New tariffs on select imports to protect American manufacturing.,2024-02-21 17:00:00+00:00,32000,11000
jimcramer,Sell everything? No. This is noise. Focus on fundamentals.,2024-02-23 14:00:00+00:00,7800,2000
sundarpichai,Gemini integration across products proceeding well.,2024-02-26 13:30:00+00:00,17000,4300
chamath,Rate cuts delayed means pain for unprofitable growth stocks.,2024-02-27 16:00:00+00:00,9800,2900
RayDalio,Diversification across uncorrelated assets is essential in this regime.,2024-03-01 10:30:00+00:00,13500,4600
JeromePowell,Recent inflation readings were somewhat disappointing.,2024-03-05 18:30:00+00:00,14500,5500
tim_cook,Apple will announce major AI features at WWDC.,2024-03-06 14:30:00+00:00,24000,7000
elonmusk,Competition from BYD is real. Tesla must innovate faster.,2024-03-04 20:45:00+00:00,48000,13000
jimcramer,Banks look cheap here. Financials are the trade.,2024-03-11 13:30:00+00:00,9200,2600
chamath,Private credit boom may end badly. Watch for defaults.,2024-03-12 17:00:00+00:00,11200,3300
federalreserve,FOMC holds rates steady. Dot plot shows fewer cuts expected.,2024-03-26 19:00:00+00:00,15000,5600
RayDalio,Gold and TIPS offer hedge against sticky inflation.,2024-03-27 12:30:00+00:00,14200,4700
JeromePowell,One rate cut this year is a reasonable baseline if data cooperates.,2024-04-02 18:00:00+00:00,16000,6000
elonmusk,Tesla deliveries beat estimates. Cybertruck ramp accelerating.,2024-04-05 20:30:00+00:00,72000,22000
POTUS,Infrastructure spending creating jobs across the heartland.,2024-04-03 16:30:00+00:00,27000,8800
RayDalio,US-China decoupling accelerates. Portfolio implications are significant.,2024-04-10 11:30:00+00:00,15100,4900
JeromePowell,Inflation progress has stalled. Patience on rate cuts.,2024-04-15 19:00:00+00:00,13800,5200
elonmusk,Robotaxi unveil event scheduled. Full self driving near completion.,2024-04-18 22:00:00+00:00,81000,25000
jimcramer,Regional bank fears overblown. Buy the fear.,2024-04-19 14:00:00+00:00,7600,1900
tim_cook,Services hit all time revenue record. Installed base growing.,2024-04-22 15:00:00+00:00,21000,6200
chamath,Consumer spending slowdown visible in credit card data.,2024-04-25 16:30:00+00:00,10100,3000
federalreserve,FOMC maintains rates. Powell press conference at 2:30pm ET.,2024-05-03 19:00:00+00:00,17000,6400
sundarpichai,AI Overviews rolling out in search. Positive early feedback.,2024-05-06 14:30:00+00:00,19000,5000
RayDalio,All weather portfolio still relevant amid macro uncertainty.,2024-05-07 11:00:00+00:00,11800,3900
tim_cook,WWDC announcements exceeded expectations. AI integration seamless.,2024-05-08 15:30:00+00:00,28000,8200
elonmusk,Tesla energy business growing faster than automotive.,2024-05-09 20:00:00+00:00,61000,17500
JeromePowell,Recent CPI print was encouraging but one month does not make a trend.,2024-05-13 18:45:00+00:00,11400,4300
POTUS,Trade talks progressing with key partners.,2024-05-14 16:30:00+00:00,22000,7200
